AgeBand,OtherAgeBand,Contacts
Age00To09,Age00To09,2.440032113
Age00To09,Age10To19,1.504961554
Age00To09,Age20To29,1.263166256
Age00To09,Age30To39,2.128676045
Age00To09,Age40To49,0.90939852
Age00To09,Age50To59,0.352440692
Age00To09,Age60To69,0.163800058
Age00To09,Age70To79,0.04058345
Age00To09,Age80Plus,0.04058345
Age10To19,Age00To09,1.451686185
Age10To19,Age10To19,3.131912767
Age10To19,Age20To29,0.618287773
Age10To19,Age30To39,0.924869809
Age10To19,Age40To49,1.340657507
Age10To19,Age50To59,0.395696538
Age10To19,Age60To69,0.112757084
Age10To19,Age70To79,0.044439494
Age10To19,Age80Plus,0.044439494
Age20To29,Age00To09,1.704506152
Age20To29,Age10To19,1.138442541
Age20To29,Age20To29,2.410327241
Age20To29,Age30To39,0.527560435
Age20To29,Age40To49,0.62546313
Age20To29,Age50To59,0.643590624
Age20To29,Age60To69,0.121838886
Age20To29,Age70To79,0.026018959
Age20To29,Age80Plus,0.026018959
Age30To39,Age00To09,3.327493628
Age30To39,Age10To19,1.858865336
Age30To39,Age20To29,0.664000362
Age30To39,Age30To39,1.417936262
Age30To39,Age40To49,0.369045235
Age30To39,Age50To59,0.206501537
Age30To39,Age60To69,0.168508232
Age30To39,Age70To79,0.033316331
Age30To39,Age80Plus,0.033316331
Age40To49,Age00To09,2.253095386
Age40To49,Age10To19,2.955304457
Age40To49,Age20To29,0.758482807
Age40To49,Age30To39,0.551277202
Age40To49,Age40To49,0.919833281
Age40To49,Age50To59,0.261975247
Age40To49,Age60To69,0.117088819
Age40To49,Age70To79,0.054478453
Age40To49,Age80Plus,0.054478453
Age50To59,Age00To09,2.116399931
Age50To59,Age10To19,2.029505634
Age50To59,Age20To29,1.354066839
Age50To59,Age30To39,0.627219124
Age50To59,Age40To49,0.517762444
Age50To59,Age50To59,0.75144235
Age50To59,Age60To69,0.250476642
Age50To59,Age70To79,0.071602129
Age50To59,Age80Plus,0.071602129
Age60To69,Age00To09,2.212612026
Age60To69,Age10To19,1.596378505
Age60To69,Age20To29,0.755693248
Age60To69,Age30To39,1.028083181
Age60To69,Age40To49,0.489258827
Age60To69,Age50To59,0.492915732
Age60To69,Age60To69,0.492501351
Age60To69,Age70To79,0.096553341
Age60To69,Age80Plus,0.096553341
Age70To79,Age00To09,1.358831161
Age70To79,Age10To19,1.950254938
Age70To79,Age20To29,0.381467494
Age70To79,Age30To39,0.645778908
Age70To79,Age40To49,0.823868893
Age70To79,Age50To59,0.541213736
Age70To79,Age60To69,0.326528701
Age70To79,Age70To79,0.273559925
Age70To79,Age80Plus,0.273559925
Age80Plus,Age00To09,1.358831161
Age80Plus,Age10To19,1.950254938
Age80Plus,Age20To29,0.381467494
Age80Plus,Age30To39,0.645778908
Age80Plus,Age40To49,0.823868893
Age80Plus,Age50To59,0.541213736
Age80Plus,Age60To69,0.326528701
Age80Plus,Age70To79,0.273559925
Age80Plus,Age80Plus,0.273559925
