FromWard,ToWard,Probability
19100001,19100001,3.26323139969129E-01
19100001,19100002,4.24349439914552E-02
19100001,19100003,4.36648019367777E-03
19100001,19100004,4.38867656287404E-02
19100001,19100005,3.69718794533667E-02
19100001,19100006,4.87953626945715E-05
19100001,19100007,3.67291612909822E-05
19100001,19100008,7.31775599177619E-05
19100001,19100009,5.34743759288545E-03
19100001,19100010,5.17175428302627E-03
19100001,19100011,5.52167927551919E-11
19100001,19100012,5.95421513717618E-03
19100001,19100013,7.28904882024695E-04
19100001,19100014,7.70529635273094E-07
19100001,19100015,1.22914395635722E-06
19100001,19100016,2.29630055950201E-06
19100001,19100017,2.19632930874967E-06
19100001,19100018,1.99408207671207E-07
19100001,19100019,4.93043819528925E-05
19100001,19100020,1.90588619919230E-04
19100001,19100021,5.69926106892746E-03
19100001,19100022,5.22641227002686E-03
19100001,19100023,4.30350391889775E-02
19100001,19100024,1.36790064827538E-03
19100001,19100025,6.79461243610097E-03
19100001,19100026,6.52426059309808E-03
19100001,19100027,4.03715451473724E-02
19100001,19100028,1.61710102076625E-03
19100001,19100029,7.90956852716148E-03
19100001,19100030,3.00856201242974E-03
19100001,19100031,1.51828401820362E-03
19100001,19100032,4.58082087012728E-02
19100001,19100033,6.29790124116442E-07
19100001,19100034,5.08360294345146E-08
19100001,19100035,1.99226446361032E-05
19100001,19100036,4.60603067097661E-05
19100001,19100037,3.16913089364641E-08
19100001,19100038,3.37034563908775E-08
19100001,19100039,1.18424089268532E-05
19100001,19100040,2.52485992714360E-05
19100001,19100041,3.57170473365334E-08
19100001,19100042,3.82959713141012E-04
19100001,19100043,9.28890332365365E-04
19100001,19100044,8.48415776263298E-04
19100001,19100045,5.94853053867342E-04
19100001,19100046,8.34510576297836E-04
19100001,19100047,9.74334626291452E-04
19100001,19100048,6.80658415523949E-04
19100001,19100049,1.02671444961837E-03
19100001,19100050,1.41725219651589E-03
19100001,19100051,4.13086636047383E-03
19100001,19100052,3.61550864589034E-03
19100001,19100053,3.90388113653184E-03
19100001,19100054,8.18880809892835E-04
19100001,19100055,5.77127307318767E-03
19100001,19100056,4.23732244076908E-02
19100001,19100057,2.69580366844346E-03
19100001,19100058,1.95292541747690E-03
19100001,19100059,1.27194910054216E-03
19100001,19100060,8.92310567239256E-04
19100001,19100061,0.00000000000000E+00
19100001,19100062,1.51716093907534E-03
19100001,19100063,1.01958865165866E-03
19100001,19100064,2.38384922240671E-04
19100001,19100065,7.72721594752204E-04
19100001,19100066,7.61619479743558E-04
19100001,19100067,1.19381793906257E-03
19100001,19100068,6.45832145851383E-04
19100001,19100069,1.96827394093260E-06
19100001,19100070,4.30941891531387E-02
19100001,19100071,3.02609211745890E-04
19100001,19100072,1.54230264452101E-03
19100001,19100073,1.86249826320437E-03
19100001,19100074,1.03470757160437E-03
19100001,19100075,1.49463859802820E-06
19100001,19100076,4.97793162500655E-08
19100001,19100077,6.91580809568361E-04
19100001,19100078,9.10702387058163E-08
19100001,19100079,6.21131633611281E-08
19100001,19100080,5.12823823507533E-08
19100001,19100081,1.87441836336089E-04
19100001,19100082,6.06605579881093E-08
19100001,19100083,3.74628957969193E-06
19100001,19100084,4.19765502644120E-07
19100001,19100085,5.03218030607475E-06
19100001,19100086,5.90831218895853E-06
19100001,19100087,3.13242531756367E-08
19100001,19100088,6.25311113012373E-08
19100001,19100089,6.79919600146590E-08
19100001,19100090,0.00000000000000E+00
19100001,19100091,0.00000000000000E+00
19100001,19100092,0.00000000000000E+00
19100001,19100093,2.89880718961393E-08
19100001,19100094,0.00000000000000E+00
19100001,19100095,3.91471463314888E-06
19100001,19100096,2.95224857486338E-08
19100001,19100097,0.00000000000000E+00
