ObjectId,CountryCode,CountryName,ProvinceCode,ProvinceName,LocalMunicipalityCode,WardNumber,WardId,LocalMunicipalityName,DistrictMunicipalityCode,DistrictMunicipalityName,Year,ShapeArea,ShapeLength,Latitude,Longitude
1,ZA,South Africa,LIM,Limpopo,LIM344,1,93404001,Makhado,DC34,Vhembe,2016,22597511.67,29226.32641,30.10241016,-23.1888219
2,ZA,South Africa,LIM,Limpopo,LIM344,2,93404002,Makhado,DC34,Vhembe,2016,12287119.26,18530.34436,30.06054039,-23.16416324
3,ZA,South Africa,LIM,Limpopo,LIM344,3,93404003,Makhado,DC34,Vhembe,2016,52335667.89,43307.78205,30.35503262,-23.08395763
4,ZA,South Africa,LIM,Limpopo,LIM344,4,93404004,Makhado,DC34,Vhembe,2016,18126836.27,23882.61984,30.39882748,-23.10981694
5,ZA,South Africa,LIM,Limpopo,LIM344,5,93404005,Makhado,DC34,Vhembe,2016,127167373.7,67643.82728,30.04197978,-23.25699378
6,ZA,South Africa,LIM,Limpopo,LIM344,6,93404006,Makhado,DC34,Vhembe,2016,14928845.64,20392.81921,29.79762451,-23.09456898
7,ZA,South Africa,LIM,Limpopo,LIM344,7,93404007,Makhado,DC34,Vhembe,2016,137271314.7,73621.35048,29.85348293,-23.06605956
8,ZA,South Africa,LIM,Limpopo,LIM344,8,93404008,Makhado,DC34,Vhembe,2016,57065217.08,42026.11052,29.9129148,-23.08048044
9,ZA,South Africa,LIM,Limpopo,LIM344,9,93404009,Makhado,DC34,Vhembe,2016,305645007.6,105849.5281,30.03805768,-23.03716137
10,ZA,South Africa,LIM,Limpopo,LIM344,10,93404010,Makhado,DC34,Vhembe,2016,40656003.33,34385.60328,30.05744086,-22.91899864
11,ZA,South Africa,LIM,Limpopo,LIM344,11,93404011,Makhado,DC34,Vhembe,2016,56349529.97,45053.73056,30.1691433,-23.24219909
12,ZA,South Africa,LIM,Limpopo,LIM344,12,93404012,Makhado,DC34,Vhembe,2016,122042913.9,62741.43763,30.10121352,-23.2922167
13,ZA,South Africa,LIM,Limpopo,LIM344,13,93404013,Makhado,DC34,Vhembe,2016,31036478.83,39122.837,30.12894105,-23.20636193
14,ZA,South Africa,LIM,Limpopo,LIM344,14,93404014,Makhado,DC34,Vhembe,2016,22058043.44,19556.14839,30.17715464,-23.18342167
15,ZA,South Africa,LIM,Limpopo,LIM344,15,93404015,Makhado,DC34,Vhembe,2016,159252760.6,73506.2438,30.08043101,-23.12225238
16,ZA,South Africa,LIM,Limpopo,LIM344,16,93404016,Makhado,DC34,Vhembe,2016,32995971.56,32157.19435,30.11018627,-23.15605165
17,ZA,South Africa,LIM,Limpopo,LIM344,17,93404017,Makhado,DC34,Vhembe,2016,34720707.35,32114.05614,30.16994114,-22.94888043
18,ZA,South Africa,LIM,Limpopo,LIM344,18,93404018,Makhado,DC34,Vhembe,2016,38621142.73,39505.96465,29.98577241,-23.33543952
19,ZA,South Africa,LIM,Limpopo,LIM344,19,93404019,Makhado,DC34,Vhembe,2016,87596675.62,51899.97014,29.97088207,-23.26628931
20,ZA,South Africa,LIM,Limpopo,LIM344,20,93404020,Makhado,DC34,Vhembe,2016,1158317995,214765.0057,29.8092752,-23.28058484
21,ZA,South Africa,LIM,Limpopo,LIM344,21,93404021,Makhado,DC34,Vhembe,2016,3650191081,395245.3055,29.60477916,-22.83013548
22,ZA,South Africa,LIM,Limpopo,LIM344,22,93404022,Makhado,DC34,Vhembe,2016,48868361.3,31790.71851,29.75178705,-23.09262689
23,ZA,South Africa,LIM,Limpopo,LIM344,23,93404023,Makhado,DC34,Vhembe,2016,32318956.44,28353.06952,29.79656065,-23.12976984
24,ZA,South Africa,LIM,Limpopo,LIM344,24,93404024,Makhado,DC34,Vhembe,2016,48488542.76,33306.56094,29.67898827,-23.08845569
25,ZA,South Africa,LIM,Limpopo,LIM344,25,93404025,Makhado,DC34,Vhembe,2016,51786575.16,46468.72135,29.66850841,-23.04481753
26,ZA,South Africa,LIM,Limpopo,LIM344,26,93404026,Makhado,DC34,Vhembe,2016,1542461572,214744.0382,29.4887627,-23.13217598
27,ZA,South Africa,LIM,Limpopo,LIM344,27,93404027,Makhado,DC34,Vhembe,2016,9410284.003,20694.05867,30.36046937,-23.05271612
28,ZA,South Africa,LIM,Limpopo,LIM344,28,93404028,Makhado,DC34,Vhembe,2016,92361507.51,55250.895,30.26808093,-23.07651203
29,ZA,South Africa,LIM,Limpopo,LIM344,29,93404029,Makhado,DC34,Vhembe,2016,22413404.09,29625.13813,30.32613059,-23.04404618
30,ZA,South Africa,LIM,Limpopo,LIM344,30,93404030,Makhado,DC34,Vhembe,2016,90099235.95,53790.34123,30.23108745,-22.98899132
31,ZA,South Africa,LIM,Limpopo,LIM344,31,93404031,Makhado,DC34,Vhembe,2016,204077771.2,96363.15628,30.1836531,-23.06091817
32,ZA,South Africa,LIM,Limpopo,LIM344,32,93404032,Makhado,DC34,Vhembe,2016,27034791.76,30318.7829,30.12177741,-22.8630691
33,ZA,South Africa,LIM,Limpopo,LIM344,33,93404033,Makhado,DC34,Vhembe,2016,31029661.64,27438.57952,30.17095003,-22.88116228
34,ZA,South Africa,LIM,Limpopo,LIM344,34,93404034,Makhado,DC34,Vhembe,2016,22957664.22,22911.1631,30.08681302,-22.88603779
35,ZA,South Africa,LIM,Limpopo,LIM344,35,93404035,Makhado,DC34,Vhembe,2016,48955782.04,44813.2343,30.03512412,-22.87277879
36,ZA,South Africa,LIM,Limpopo,LIM344,36,93404036,Makhado,DC34,Vhembe,2016,77473825.17,45543.259,29.94588818,-22.85338727
37,ZA,South Africa,LIM,Limpopo,LIM344,37,93404037,Makhado,DC34,Vhembe,2016,436389750.3,122995.4425,30.13883389,-22.76730298
38,ZA,South Africa,LIM,Limpopo,LIM344,38,93404038,Makhado,DC34,Vhembe,2016,50038679.27,40163.19796,30.12465073,-22.91930441
39,ZA,South Africa,NW,North West,NW392,1,63902001,Naledi,DC39,Dr Ruth Segomotsi Mompati,2016,1981921505,289340.6334,24.85559271,-26.4777956
40,ZA,South Africa,NW,North West,NW392,2,63902002,Naledi,DC39,Dr Ruth Segomotsi Mompati,2016,970661481.2,230901.8546,24.93109061,-26.81697562
41,ZA,South Africa,NW,North West,NW392,3,63902003,Naledi,DC39,Dr Ruth Segomotsi Mompati,2016,3438951.724,8701.075238,24.73491239,-26.94183948
42,ZA,South Africa,NW,North West,NW392,4,63902004,Naledi,DC39,Dr Ruth Segomotsi Mompati,2016,1224441.205,6597.475307,24.73948986,-26.98043415
43,ZA,South Africa,NW,North West,NW392,5,63902005,Naledi,DC39,Dr Ruth Segomotsi Mompati,2016,4797659266,502160.5634,24.7541746,-27.05417701
44,ZA,South Africa,NW,North West,NW392,6,63902006,Naledi,DC39,Dr Ruth Segomotsi Mompati,2016,1596123.772,6425.8888,24.73682859,-26.9688643
45,ZA,South Africa,NW,North West,NW392,7,63902007,Naledi,DC39,Dr Ruth Segomotsi Mompati,2016,1072069057,221403.8698,24.74608715,-26.76205638
46,ZA,South Africa,NW,North West,NW392,8,63902008,Naledi,DC39,Dr Ruth Segomotsi Mompati,2016,608336.0176,4849.459547,24.74432895,-26.9772397
47,ZA,South Africa,NW,North West,NW392,9,63902009,Naledi,DC39,Dr Ruth Segomotsi Mompati,2016,34909864.9,25706.77955,24.74971271,-27.00171451
48,ZA,South Africa,NW,North West,NW392,10,63902010,Naledi,DC39,Dr Ruth Segomotsi Mompati,2016,4782929.366,12421.15885,24.74867146,-26.96755615
49,ZA,South Africa,LIM,Limpopo,LIM343,1,93403001,Thulamela,DC34,Vhembe,2016,112592053.4,70530.37871,30.29457846,-22.81483799
50,ZA,South Africa,LIM,Limpopo,LIM343,2,93403002,Thulamela,DC34,Vhembe,2016,441648320.6,131598.9409,30.38916746,-22.71316713
51,ZA,South Africa,LIM,Limpopo,LIM343,3,93403003,Thulamela,DC34,Vhembe,2016,41584964.28,30269.31054,30.52524028,-22.73503099
52,ZA,South Africa,LIM,Limpopo,LIM343,4,93403004,Thulamela,DC34,Vhembe,2016,176682454.9,83909.26925,30.62581248,-22.67222896
53,ZA,South Africa,LIM,Limpopo,LIM343,5,93403005,Thulamela,DC34,Vhembe,2016,222882232.5,82292.0574,30.71412275,-22.70849603
54,ZA,South Africa,LIM,Limpopo,LIM343,6,93403006,Thulamela,DC34,Vhembe,2016,506097958.7,137020.3619,30.87701042,-22.60547167
55,ZA,South Africa,LIM,Limpopo,LIM343,7,93403007,Thulamela,DC34,Vhembe,2016,88531885.45,59859.40674,30.79235516,-22.76358452
56,ZA,South Africa,LIM,Limpopo,LIM343,8,93403008,Thulamela,DC34,Vhembe,2016,51246961.91,44874.4132,30.75447035,-22.80654192
57,ZA,South Africa,LIM,Limpopo,LIM343,9,93403009,Thulamela,DC34,Vhembe,2016,113775199.8,65163.77874,30.66602257,-22.80028834
58,ZA,South Africa,LIM,Limpopo,LIM343,10,93403010,Thulamela,DC34,Vhembe,2016,61308966.3,46694.87607,30.54406969,-22.78986802
59,ZA,South Africa,LIM,Limpopo,LIM343,11,93403011,Thulamela,DC34,Vhembe,2016,48283445.67,44122.24371,30.52697256,-22.8401216
60,ZA,South Africa,LIM,Limpopo,LIM343,12,93403012,Thulamela,DC34,Vhembe,2016,49573922.16,42017.00177,30.61458731,-22.82648144
61,ZA,South Africa,LIM,Limpopo,LIM343,13,93403013,Thulamela,DC34,Vhembe,2016,56813310.41,44695.35315,30.57828236,-22.86857889
62,ZA,South Africa,LIM,Limpopo,LIM343,14,93403014,Thulamela,DC34,Vhembe,2016,29756816.85,52596.10095,30.50907387,-22.90011911
63,ZA,South Africa,LIM,Limpopo,LIM343,15,93403015,Thulamela,DC34,Vhembe,2016,81335175.01,52883.57597,30.44718492,-22.77477038
64,ZA,South Africa,LIM,Limpopo,LIM343,16,93403016,Thulamela,DC34,Vhembe,2016,60467378.7,54176.29279,30.55069344,-22.92390729
65,ZA,South Africa,LIM,Limpopo,LIM343,17,93403017,Thulamela,DC34,Vhembe,2016,6502528.581,13723.64012,30.48546806,-22.9545189
66,ZA,South Africa,LIM,Limpopo,LIM343,18,93403018,Thulamela,DC34,Vhembe,2016,6003106.879,13549.51776,30.46004031,-22.98764189
67,ZA,South Africa,LIM,Limpopo,LIM343,19,93403019,Thulamela,DC34,Vhembe,2016,61310273.04,44155.82456,30.58597895,-22.95630413
68,ZA,South Africa,LIM,Limpopo,LIM343,20,93403020,Thulamela,DC34,Vhembe,2016,23649822.06,25453.63162,30.51440309,-22.97299456
69,ZA,South Africa,LIM,Limpopo,LIM343,21,93403021,Thulamela,DC34,Vhembe,2016,8233474.62,13416.99752,30.46788078,-22.96738172
70,ZA,South Africa,LIM,Limpopo,LIM343,22,93403022,Thulamela,DC34,Vhembe,2016,14781038.97,17561.70888,30.43370111,-22.97128709
71,ZA,South Africa,LIM,Limpopo,LIM343,23,93403023,Thulamela,DC34,Vhembe,2016,8013894.522,17679.5176,30.48057478,-22.93420326
72,ZA,South Africa,LIM,Limpopo,LIM343,24,93403024,Thulamela,DC34,Vhembe,2016,16771590.63,26748.35252,30.40521234,-22.95773689
73,ZA,South Africa,LIM,Limpopo,LIM343,25,93403025,Thulamela,DC34,Vhembe,2016,23726929.79,36309.36056,30.47001298,-22.89997219
74,ZA,South Africa,LIM,Limpopo,LIM343,26,93403026,Thulamela,DC34,Vhembe,2016,44319452.56,43733.64947,30.44548598,-23.05697483
75,ZA,South Africa,LIM,Limpopo,LIM343,27,93403027,Thulamela,DC34,Vhembe,2016,35698466.58,33213.57917,30.21086569,-22.91840572
76,ZA,South Africa,LIM,Limpopo,LIM343,28,93403028,Thulamela,DC34,Vhembe,2016,84150926.95,61712.46416,30.23793652,-22.86351585
77,ZA,South Africa,LIM,Limpopo,LIM343,29,93403029,Thulamela,DC34,Vhembe,2016,162826632.3,69325.0414,30.37330752,-22.86536317
78,ZA,South Africa,LIM,Limpopo,LIM343,30,93403030,Thulamela,DC34,Vhembe,2016,70018109.16,46233.58973,30.4640683,-22.83715124
79,ZA,South Africa,LIM,Limpopo,LIM343,31,93403031,Thulamela,DC34,Vhembe,2016,67682218.09,51836.67144,30.37069789,-22.92667439
80,ZA,South Africa,LIM,Limpopo,LIM343,32,93403032,Thulamela,DC34,Vhembe,2016,113808127.9,72940.36601,30.29542285,-22.95243771
81,ZA,South Africa,LIM,Limpopo,LIM343,33,93403033,Thulamela,DC34,Vhembe,2016,20396137.71,27486.30595,30.39209146,-23.04071586
82,ZA,South Africa,LIM,Limpopo,LIM343,34,93403034,Thulamela,DC34,Vhembe,2016,33192692.12,38308.36224,30.3560572,-23.01083857
83,ZA,South Africa,LIM,Limpopo,LIM343,35,93403035,Thulamela,DC34,Vhembe,2016,19653623.98,36113.43321,30.39058233,-22.98193399
84,ZA,South Africa,LIM,Limpopo,LIM343,36,93403036,Thulamela,DC34,Vhembe,2016,32603569.77,36957.41994,30.45731775,-23.02208518
85,ZA,South Africa,LIM,Limpopo,LIM343,37,93403037,Thulamela,DC34,Vhembe,2016,10777911.2,19736.37149,30.41505136,-23.01272422
86,ZA,South Africa,LIM,Limpopo,LIM343,38,93403038,Thulamela,DC34,Vhembe,2016,6858391.91,14997.13119,30.43590835,-23.00307939
87,ZA,South Africa,LIM,Limpopo,LIM343,39,93403039,Thulamela,DC34,Vhembe,2016,84716931.6,48712.32019,30.6530927,-22.89492016
88,ZA,South Africa,LIM,Limpopo,LIM343,40,93403040,Thulamela,DC34,Vhembe,2016,13767614.44,19266.91908,30.45059592,-22.94424445
89,ZA,South Africa,LIM,Limpopo,LIM343,41,93403041,Thulamela,DC34,Vhembe,2016,10448643.09,16557.69915,30.48564461,-22.98948277
90,ZA,South Africa,LIM,Limpopo,LIM341,1,93401001,Musina,DC34,Vhembe,2016,2344262029,286626.6053,30.22508548,-22.49997731
91,ZA,South Africa,LIM,Limpopo,LIM341,2,93401002,Musina,DC34,Vhembe,2016,6269655989,435536.6328,29.51564377,-22.40559341
92,ZA,South Africa,LIM,Limpopo,LIM341,3,93401003,Musina,DC34,Vhembe,2016,1556854.543,7915.338998,30.02773178,-22.3312672
93,ZA,South Africa,LIM,Limpopo,LIM341,4,93401004,Musina,DC34,Vhembe,2016,3883303.536,12024.88487,30.0458884,-22.33739395
94,ZA,South Africa,LIM,Limpopo,LIM341,5,93401005,Musina,DC34,Vhembe,2016,1086333.442,4619.557267,30.01738164,-22.3408246
95,ZA,South Africa,LIM,Limpopo,LIM341,6,93401006,Musina,DC34,Vhembe,2016,82108123.05,41854.65519,30.03175169,-22.3828456
96,ZA,South Africa,LIM,Limpopo,LIM341,7,93401007,Musina,DC34,Vhembe,2016,99882129.77,49930.14746,30.44938431,-22.60428988
97,ZA,South Africa,LIM,Limpopo,LIM341,8,93401008,Musina,DC34,Vhembe,2016,242089161.3,101011.3569,30.5499266,-22.47797236
98,ZA,South Africa,LIM,Limpopo,LIM341,9,93401009,Musina,DC34,Vhembe,2016,264582881.7,93025.66985,30.69323514,-22.41163513
99,ZA,South Africa,LIM,Limpopo,LIM341,10,93401010,Musina,DC34,Vhembe,2016,430398241.3,103116.3055,30.7094639,-22.54723721
100,ZA,South Africa,LIM,Limpopo,LIM341,11,93401011,Musina,DC34,Vhembe,2016,178690662.3,82743.20747,30.53187443,-22.57994348
101,ZA,South Africa,LIM,Limpopo,LIM341,12,93401012,Musina,DC34,Vhembe,2016,2253091258,306300.9994,31.04956258,-22.5034409
102,ZA,South Africa,NW,North West,NW384,1,63804001,Ditsobotla,DC38,Ngaka Modiri Molema,2016,251052720.1,91727.56047,26.02124436,-26.16568018
103,ZA,South Africa,NW,North West,NW384,2,63804002,Ditsobotla,DC38,Ngaka Modiri Molema,2016,9025998.276,17188.7913,26.14157709,-26.17164328
104,ZA,South Africa,NW,North West,NW384,3,63804003,Ditsobotla,DC38,Ngaka Modiri Molema,2016,2412717.631,6586.866433,26.11936114,-26.18519014
105,ZA,South Africa,NW,North West,NW384,4,63804004,Ditsobotla,DC38,Ngaka Modiri Molema,2016,3593025.932,8221.782958,26.15437344,-26.17875328
106,ZA,South Africa,NW,North West,NW384,5,63804005,Ditsobotla,DC38,Ngaka Modiri Molema,2016,1378674062,253268.567,26.17155204,-26.37576296
107,ZA,South Africa,NW,North West,NW384,6,63804006,Ditsobotla,DC38,Ngaka Modiri Molema,2016,205696030.7,70892.40936,26.27036251,-26.1997421
108,ZA,South Africa,NW,North West,NW384,7,63804007,Ditsobotla,DC38,Ngaka Modiri Molema,2016,263006270.3,96540.12376,26.28913908,-26.12444596
109,ZA,South Africa,NW,North West,NW384,8,63804008,Ditsobotla,DC38,Ngaka Modiri Molema,2016,82210432.44,50106.03599,25.90678974,-26.13203696
110,ZA,South Africa,NW,North West,NW384,9,63804009,Ditsobotla,DC38,Ngaka Modiri Molema,2016,3829507.953,11998.45776,25.87565285,-26.09243694
111,ZA,South Africa,NW,North West,NW384,10,63804010,Ditsobotla,DC38,Ngaka Modiri Molema,2016,5403689.185,10688.68687,25.8728663,-26.08027065
112,ZA,South Africa,NW,North West,NW384,11,63804011,Ditsobotla,DC38,Ngaka Modiri Molema,2016,32846772.12,26007.3535,25.91139664,-26.05423588
113,ZA,South Africa,NW,North West,NW384,12,63804012,Ditsobotla,DC38,Ngaka Modiri Molema,2016,21301434.8,24141.68573,25.87014769,-26.04593471
114,ZA,South Africa,NW,North West,NW384,13,63804013,Ditsobotla,DC38,Ngaka Modiri Molema,2016,23013629.72,26655.07111,25.83904183,-26.07838168
115,ZA,South Africa,NW,North West,NW384,14,63804014,Ditsobotla,DC38,Ngaka Modiri Molema,2016,33610262.38,37129.50309,25.81712055,-26.03629409
116,ZA,South Africa,NW,North West,NW384,15,63804015,Ditsobotla,DC38,Ngaka Modiri Molema,2016,10744126.54,18549.32505,26.3150579,-26.33362771
117,ZA,South Africa,NW,North West,NW384,16,63804016,Ditsobotla,DC38,Ngaka Modiri Molema,2016,2505955867,335706.9631,26.16610973,-25.92001227
118,ZA,South Africa,NW,North West,NW384,17,63804017,Ditsobotla,DC38,Ngaka Modiri Molema,2016,2323012878,317021.061,26.51105501,-26.10072716
119,ZA,South Africa,NW,North West,NW384,18,63804018,Ditsobotla,DC38,Ngaka Modiri Molema,2016,1159583.649,5807.890028,26.2976455,-26.32605123
120,ZA,South Africa,NW,North West,NW384,19,63804019,Ditsobotla,DC38,Ngaka Modiri Molema,2016,328819458.7,112007.5968,25.8067432,-26.15652043
121,ZA,South Africa,NW,North West,NW384,20,63804020,Ditsobotla,DC38,Ngaka Modiri Molema,2016,468918513.8,127549.1298,26.01782778,-26.37585734
122,ZA,South Africa,EC,Eastern Cape,EC444,5,24404005,Ntabankulu,DC44,Alfred Nzo,2016,139190518.1,92254.87869,29.20720196,-31.00610573
123,ZA,South Africa,EC,Eastern Cape,EC102,1,21002001,Blue Crane Route,DC10,Sarah Baartman,2016,2833923687,407030.1406,25.94701285,-32.76350519
124,ZA,South Africa,EC,Eastern Cape,EC102,2,21002002,Blue Crane Route,DC10,Sarah Baartman,2016,20824498.53,32431.81823,25.58321694,-32.73568582
125,ZA,South Africa,EC,Eastern Cape,EC102,3,21002003,Blue Crane Route,DC10,Sarah Baartman,2016,3881048.996,9159.070919,25.59979001,-32.72790113
126,ZA,South Africa,EC,Eastern Cape,EC102,4,21002004,Blue Crane Route,DC10,Sarah Baartman,2016,5443567148,454461.7902,25.03363289,-32.52423839
127,ZA,South Africa,EC,Eastern Cape,EC102,5,21002005,Blue Crane Route,DC10,Sarah Baartman,2016,41038667.55,28630.97778,25.5661082,-32.7026454
128,ZA,South Africa,EC,Eastern Cape,EC102,6,21002006,Blue Crane Route,DC10,Sarah Baartman,2016,7358736147,543591.1985,25.48765957,-32.9731753
129,ZA,South Africa,EC,Eastern Cape,EC104,1,21004001,Makana,DC10,Sarah Baartman,2016,3064495816,377172.2565,26.38127927,-33.11029288
130,ZA,South Africa,EC,Eastern Cape,EC104,2,21004002,Makana,DC10,Sarah Baartman,2016,751393.0879,3832.082101,26.5575351,-33.29017539
131,ZA,South Africa,EC,Eastern Cape,EC104,3,21004003,Makana,DC10,Sarah Baartman,2016,2159875.69,10311.85543,26.54241106,-33.29065443
132,ZA,South Africa,EC,Eastern Cape,EC104,4,21004004,Makana,DC10,Sarah Baartman,2016,65688093.9,44771.6485,26.47345441,-33.29944324
133,ZA,South Africa,EC,Eastern Cape,EC104,5,21004005,Makana,DC10,Sarah Baartman,2016,4981298.928,9391.822327,26.5586608,-33.27775527
134,ZA,South Africa,EC,Eastern Cape,EC104,6,21004006,Makana,DC10,Sarah Baartman,2016,1387340.311,7232.457216,26.57196179,-33.28470169
135,ZA,South Africa,EC,Eastern Cape,EC104,7,21004007,Makana,DC10,Sarah Baartman,2016,1217067.48,6252.564204,26.54974428,-33.29704442
136,ZA,South Africa,EC,Eastern Cape,EC104,8,21004008,Makana,DC10,Sarah Baartman,2016,7144946.447,14738.98682,26.53845338,-33.31678939
137,ZA,South Africa,EC,Eastern Cape,EC104,9,21004009,Makana,DC10,Sarah Baartman,2016,15901405.87,29855.63071,26.58134142,-33.2922676
138,ZA,South Africa,EC,Eastern Cape,EC104,10,21004010,Makana,DC10,Sarah Baartman,2016,1997681.547,8625.520291,26.54444754,-33.30466424
139,ZA,South Africa,EC,Eastern Cape,EC104,11,21004011,Makana,DC10,Sarah Baartman,2016,86699797,52074.54203,26.61830389,-33.22479926
140,ZA,South Africa,EC,Eastern Cape,EC104,12,21004012,Makana,DC10,Sarah Baartman,2016,28274996.31,27797.81493,26.52235366,-33.33786676
141,ZA,South Africa,EC,Eastern Cape,EC104,13,21004013,Makana,DC10,Sarah Baartman,2016,1182107751,318272.2709,26.69322053,-33.33036774
142,ZA,South Africa,EC,Eastern Cape,EC104,14,21004014,Makana,DC10,Sarah Baartman,2016,1808427032,245188.1705,26.25043729,-33.38052779
143,ZA,South Africa,EC,Eastern Cape,EC105,1,21005001,Ndlambe,DC10,Sarah Baartman,2016,185549630.1,75251.8615,26.50720739,-33.700843
144,ZA,South Africa,EC,Eastern Cape,EC105,2,21005002,Ndlambe,DC10,Sarah Baartman,2016,264300538.4,97636.33468,26.42134761,-33.61594818
145,ZA,South Africa,EC,Eastern Cape,EC105,3,21005003,Ndlambe,DC10,Sarah Baartman,2016,138282318,87666.03757,26.56534899,-33.65672789
146,ZA,South Africa,EC,Eastern Cape,EC105,4,21005004,Ndlambe,DC10,Sarah Baartman,2016,224727127.7,150189.5928,26.60266273,-33.59450375
147,ZA,South Africa,EC,Eastern Cape,EC105,5,21005005,Ndlambe,DC10,Sarah Baartman,2016,111401508.9,72618.48672,26.81328117,-33.51041052
148,ZA,South Africa,EC,Eastern Cape,EC105,7,21005007,Ndlambe,DC10,Sarah Baartman,2016,1385206.855,6201.370872,26.89042508,-33.56704188
149,ZA,South Africa,EC,Eastern Cape,EC105,8,21005008,Ndlambe,DC10,Sarah Baartman,2016,1792841.637,8191.496751,26.88209076,-33.57638034
150,ZA,South Africa,EC,Eastern Cape,EC105,9,21005009,Ndlambe,DC10,Sarah Baartman,2016,4892944.164,11381.8883,26.8923113,-33.58372834
151,ZA,South Africa,EC,Eastern Cape,EC105,10,21005010,Ndlambe,DC10,Sarah Baartman,2016,13937641.65,22477.4242,26.88937281,-33.60090392
152,ZA,South Africa,EC,Eastern Cape,EC106,1,21006001,Sundays River Valley,DC10,Sarah Baartman,2016,3007086.014,7619.118796,25.48262467,-33.39999157
