ObjectId,CountryCode,CountryName,ProvinceCode,ProvinceName,LocalMunicipalityCode,WardNumber,WardId,LocalMunicipalityName,DistrictMunicipalityCode,DistrictMunicipalityName,Year,ShapeArea,ShapeLength,Latitude,Longitude,Population
2036,ZA,South Africa,WC,Western Cape,CPT,1,19100001,City of Cape Town,CPT,City of Cape Town,2016,39560301.6,35338.79824,18.56478621,-33.85434718,26434.07345
2037,ZA,South Africa,WC,Western Cape,CPT,2,19100002,City of Cape Town,CPT,City of Cape Town,2016,13419218.76,22737.39003,18.59779817,-33.89434238,29914.18993
2038,ZA,South Africa,WC,Western Cape,CPT,3,19100003,City of Cape Town,CPT,City of Cape Town,2016,15846754.56,18212.81241,18.6586431,-33.89248392,25735.6225
2039,ZA,South Africa,WC,Western Cape,CPT,4,19100004,City of Cape Town,CPT,City of Cape Town,2016,18373191.41,24413.13457,18.51238093,-33.86358683,33364.15882
2040,ZA,South Africa,WC,Western Cape,CPT,5,19100005,City of Cape Town,CPT,City of Cape Town,2016,12882899.64,15693.10269,18.54265812,-33.86903913,24480.76812
2041,ZA,South Africa,WC,Western Cape,CPT,6,19100006,City of Cape Town,CPT,City of Cape Town,2016,11768970.12,18657.58434,18.73648252,-33.87346245,36512.04739
2042,ZA,South Africa,WC,Western Cape,CPT,7,19100007,City of Cape Town,CPT,City of Cape Town,2016,12978226.86,22763.1695,18.714115,-33.87823258,27867.71894
2043,ZA,South Africa,WC,Western Cape,CPT,8,19100008,City of Cape Town,CPT,City of Cape Town,2016,24036045.98,26723.45237,18.69127721,-33.89972974,29266.33749
2044,ZA,South Africa,WC,Western Cape,CPT,9,19100009,City of Cape Town,CPT,City of Cape Town,2016,16204361.63,19704.13373,18.64609816,-33.92322855,31735.90931
2045,ZA,South Africa,WC,Western Cape,CPT,10,19100010,City of Cape Town,CPT,City of Cape Town,2016,16098942.54,27002.99879,18.61749882,-33.9111157,30520.92345
2046,ZA,South Africa,WC,Western Cape,CPT,11,19100011,City of Cape Town,CPT,City of Cape Town,2016,14943548.82,21548.3788,18.68334252,-33.93276278,34320.70231
2047,ZA,South Africa,WC,Western Cape,CPT,12,19100012,City of Cape Town,CPT,City of Cape Town,2016,5551262.127,12635.47759,18.64685329,-33.94572981,35392.08542
2048,ZA,South Africa,WC,Western Cape,CPT,13,19100013,City of Cape Town,CPT,City of Cape Town,2016,5356438.926,11277.27157,18.64368424,-33.96197708,47175.49853
2049,ZA,South Africa,WC,Western Cape,CPT,14,19100014,City of Cape Town,CPT,City of Cape Town,2016,49239506.84,47600.74716,18.7164644,-33.96464962,37313.82793
2050,ZA,South Africa,WC,Western Cape,CPT,15,19100015,City of Cape Town,CPT,City of Cape Town,2016,31688861.17,38043.29716,18.83133674,-34.0625771,22773.84361
2051,ZA,South Africa,WC,Western Cape,CPT,16,19100016,City of Cape Town,CPT,City of Cape Town,2016,23171983.83,27446.77466,18.70618895,-34.01827323,42940.25127
2052,ZA,South Africa,WC,Western Cape,CPT,17,19100017,City of Cape Town,CPT,City of Cape Town,2016,11777632.17,17517.09965,18.70543089,-33.99707086,41077.23426
2053,ZA,South Africa,WC,Western Cape,CPT,18,19100018,City of Cape Town,CPT,City of Cape Town,2016,2862229.946,8462.895134,18.63796446,-34.0094907,26117.53305
2054,ZA,South Africa,WC,Western Cape,CPT,19,19100019,City of Cape Town,CPT,City of Cape Town,2016,11990807.05,20259.59258,18.66871819,-33.95818266,53584.65449
2055,ZA,South Africa,WC,Western Cape,CPT,20,19100020,City of Cape Town,CPT,City of Cape Town,2016,4598975.991,12454.59526,18.64472255,-33.98051171,42432.51538
2056,ZA,South Africa,WC,Western Cape,CPT,21,19100021,City of Cape Town,CPT,City of Cape Town,2016,16080803.87,20114.28273,18.65332288,-33.86163141,21962.01834
2057,ZA,South Africa,WC,Western Cape,CPT,22,19100022,City of Cape Town,CPT,City of Cape Town,2016,11399961.1,22100.01606,18.61548334,-33.93960487,30846.48923
2058,ZA,South Africa,WC,Western Cape,CPT,23,19100023,City of Cape Town,CPT,City of Cape Town,2016,135643552.5,59185.56531,18.4799942,-33.73817312,29183.45401
2059,ZA,South Africa,WC,Western Cape,CPT,24,19100024,City of Cape Town,CPT,City of Cape Town,2016,27057632.13,27079.80318,18.6079368,-33.96841015,30431.44927
2060,ZA,South Africa,WC,Western Cape,CPT,25,19100025,City of Cape Town,CPT,City of Cape Town,2016,4940936.169,10097.39729,18.59406565,-33.92968834,40210.32521
2061,ZA,South Africa,WC,Western Cape,CPT,26,19100026,City of Cape Town,CPT,City of Cape Town,2016,11570615.5,17493.1268,18.57450263,-33.91005194,38577.02598
2062,ZA,South Africa,WC,Western Cape,CPT,27,19100027,City of Cape Town,CPT,City of Cape Town,2016,8270719.623,14675.01398,18.54599953,-33.89986958,20525.96149
2063,ZA,South Africa,WC,Western Cape,CPT,28,19100028,City of Cape Town,CPT,City of Cape Town,2016,4652502.289,11351.15633,18.57933526,-33.93207623,35447.66376
2064,ZA,South Africa,WC,Western Cape,CPT,29,19100029,City of Cape Town,CPT,City of Cape Town,2016,247692659.5,87799.98168,18.43857953,-33.54855708,37490.44737
2065,ZA,South Africa,WC,Western Cape,CPT,30,19100030,City of Cape Town,CPT,City of Cape Town,2016,13610723.17,20305.23506,18.55911879,-33.93220089,35722.86606
2066,ZA,South Africa,WC,Western Cape,CPT,31,19100031,City of Cape Town,CPT,City of Cape Town,2016,8513595.521,16892.89031,18.57579864,-33.9621866,35327.94097
2067,ZA,South Africa,WC,Western Cape,CPT,32,19100032,City of Cape Town,CPT,City of Cape Town,2016,288652696.1,107086.3318,18.51148972,-33.62021512,43208.43629
2068,ZA,South Africa,WC,Western Cape,CPT,33,19100033,City of Cape Town,CPT,City of Cape Town,2016,2672640.805,10365.19293,18.57304531,-34.01539589,38412.1396
2069,ZA,South Africa,WC,Western Cape,CPT,34,19100034,City of Cape Town,CPT,City of Cape Town,2016,2370700.105,7756.940883,18.58570964,-34.00869168,35587.54954
2070,ZA,South Africa,WC,Western Cape,CPT,35,19100035,City of Cape Town,CPT,City of Cape Town,2016,7236158.376,14362.76971,18.61278018,-34.00522211,40066.83934
2071,ZA,South Africa,WC,Western Cape,CPT,36,19100036,City of Cape Town,CPT,City of Cape Town,2016,3195527.979,9447.505879,18.60198818,-33.99350372,31454.74694
2072,ZA,South Africa,WC,Western Cape,CPT,37,19100037,City of Cape Town,CPT,City of Cape Town,2016,2079368.136,6229.236152,18.58619214,-33.99467453,22185.36812
2073,ZA,South Africa,WC,Western Cape,CPT,38,19100038,City of Cape Town,CPT,City of Cape Town,2016,2811464.101,6948.956854,18.57212518,-33.99590271,23593.96352
2074,ZA,South Africa,WC,Western Cape,CPT,39,19100039,City of Cape Town,CPT,City of Cape Town,2016,1960796.391,7532.487291,18.58166346,-33.98576181,29136.09403
2075,ZA,South Africa,WC,Western Cape,CPT,40,19100040,City of Cape Town,CPT,City of Cape Town,2016,2670888.87,8750.147947,18.57305773,-33.9728405,35084.67669
2076,ZA,South Africa,WC,Western Cape,CPT,41,19100041,City of Cape Town,CPT,City of Cape Town,2016,2922562.081,7972.874877,18.56712533,-33.98292477,25003.56943
2077,ZA,South Africa,WC,Western Cape,CPT,42,19100042,City of Cape Town,CPT,City of Cape Town,2016,2215067.299,6756.102589,18.55789531,-33.99669031,25296.67351
2078,ZA,South Africa,WC,Western Cape,CPT,43,19100043,City of Cape Town,CPT,City of Cape Town,2016,67277888.73,36737.05387,18.55734086,-34.04519229,37911.50613
